1,-0.0350297,2.1304765,2.1060860,-0.2242861,-0.2457226,-0.2499381,-0.3783086,-0.2478148,-0.8402290,0.4753671,-0.2332530,-0.2992418,3.3801412,-0.2606129,-1.8913747,-0.0320737,-0.2446881,-0.2940015,2.3426754,1,6
2,-0.3537081,-0.6786795,-0.9186237,-0.2317278,-0.2262103,-0.2345963,-0.3774323,-0.2514930,-0.4658513,0.1254197,-0.2387213,-0.3110545,-0.4787629,-0.2586534,0.8784461,-0.2391664,-0.2357127,-0.2512519,-0.6154599,1,4
3,0.8581630,-0.4983799,-1.0192539,-0.2085897,-0.1723804,-0.1746616,-0.1171084,-0.0741023,-0.3106215,0.2175111,-0.0819650,-0.2185883,-0.2203213,-0.2268950,0.5364531,-0.0116293,-0.1570580,-0.2375676,-0.6908264,1,0
4,0.2735787,1.9211530,3.1027114,-0.2215195,-0.2427363,-0.2464548,-0.2768891,-0.2462944,-0.7215239,1.2489350,-0.1777886,-0.2912614,4.1467423,-0.2579101,-2.3987181,-0.1792543,-0.2421318,-0.2894705,2.0412094,1,0
5,-0.3682862,-0.4869462,-0.8566975,-0.2330591,-0.2474772,-0.2512192,-0.3763072,-0.2667065,0.0911498,-0.3534556,-0.2710751,-0.3207686,-0.5349222,-0.2600048,0.4477285,-0.2666133,-0.2444899,-0.2930874,-0.4772880,1,7
6,1.0565284,-0.5186086,-0.4464362,-0.0552392,0.0130374,-0.0086174,-0.1037659,0.1728098,0.2189861,0.6227134,0.1212186,-0.1707900,-0.6516026,0.0163604,0.7711700,0.0434005,0.0779357,-0.0384884,-0.5212518,1,5
7,-0.3531663,-0.9706769,-0.3303245,-0.2322980,-0.2292868,-0.2321726,-0.3749812,-0.2549618,-0.4932448,0.7516413,-0.2561632,-0.3165011,-0.4307822,-0.2505449,0.4194979,-0.2437237,-0.2232710,-0.2900851,-1.0676589,1,4
8,-0.3684149,-1.0146524,-0.6380205,-0.2329982,-0.2454064,-0.2491391,-0.3809277,-0.2656230,1.6434478,-1.1822783,-0.2700725,-0.3197228,-0.9048644,-0.2590588,1.0316977,-0.2665910,-0.2445263,-0.2925043,-0.7724734,1,5
9,3.5904755,-0.9267014,-0.4696585,0.1152757,0.3770683,0.3761527,0.3336542,0.2895285,1.8899893,-0.2613642,1.2078170,0.3629228,-0.9375786,0.3793514,1.1325211,-0.1093513,0.1914160,0.2706883,-0.7913151,1,1
10,-0.3253184,-1.2301325,-0.0323044,-0.2158168,-0.0718127,-0.0769692,0.4638671,-0.0344070,1.9447763,-0.5560567,0.0930189,0.3846812,-0.9383964,-0.0086409,1.0139528,-0.2028659,-0.0890490,-0.0150648,-1.0425367,1,4
