1,647500,47.02,20.75,8000000000,652200000,540000000,446000000,21500000000,800,7.5,21000,3759000000,163.07,1000,42.9,29928987,33100,15000,6.75,6
2,28748,15.08,5.12,1410000000,6760000000,5680000000,552400000,17460000000,4900,5.6,18000,2076000000,21.52,30000,77.24,3563112,255000,1100000,2.04,4
3,2381740,17.13,4.6,21900000000,23610000000,25760000000,32160000000,212300000000,6600,6.1,104000,15250000000,31,500000,73,32531853,2199600,1447310,1.92,0
4,1246700,44.64,25.9,10450000000,1587000000,1707000000,12760000000,23170000000,2100,11.7,51429,4896000000,191.19,41000,36.61,11190786,96300,130000,6.27,0
5,443,17.26,5.44,231000000,103000000,110800000,689000000,750000000,11000,3,250,692000000,19.46,10000,71.9,68722,38000,38200,2.26,7
6,2766890,16.9,7.56,157700000000,81650000000,81390000000,33780000000,483500000000,12400,8.3,215471,22060000000,15.18,4100000,75.91,39537943,8009400,6500000,2.19,5
7,29800,11.76,8.16,905000000,5797000000,6492000000,850000000,13650000000,4600,9,8431,1300000000,23.28,150000,71.55,2982904,562600,114400,1.32,4
8,193,11.26,6.57,285000000,751200000,807700000,128000000,1940000000,28000,-1.5,800,841000000,5.89,24000,79.14,71566,37100,53000,1.79,5
9,7686850,12.26,7.44,308700000000,195600000000,210300000000,86890000000,611700000000,30700,3.5,811603,98100000000,4.69,9472000,80.39,20090437,10815000,14347000,1.76,1
10,83870,8.81,9.7,15500000000,55090000000,58490000000,102700000000,255900000000,31300,1.9,200000,101200000000,4.66,3730000,78.92,8184691,3881000,7094500,1.36,4
11,86600,20.4,9.86,1832000000,17370000000,17550000000,3168000000,30010000000,3800,9.8,28030,3622000000,81.74,300000,63.35,7911974,923800,870000,2.44,4
12,13940,17.87,8.97,308500000,1596000000,1716000000,636000000,5295000000,17700,3,2693,1630000000,25.21,84000,65.54,301790,131700,121800,2.2,7
13,665,18.1,4.08,6215000000,6379000000,6860000000,8205000000,13010000000,19200,5.6,3459,5870000000,17.27,195700,74.23,688345,185800,443100,2.63,6
14,144000,30.01,8.4,19970000000,15300000000,16450000000,7478000000,275700000000,2000,4.9,207486,10030000000,62.6,243000,62.08,144319628,740000,1365000,3.13,2
15,431,12.83,9.17,668000000,744000000,800000000,206000000,4569000000,16400,2.3,1600,1039000000,12.5,100000,71.41,279254,134000,140000,1.65,7
16,207600,10.83,14.15,600000000,34300000000,30000000000,11470000000,70500000000,6800,6.4,79990,13570000000,13.37,1391900,68.72,10300483,3071300,1118000,1.39,4
17,30528,10.48,10.22,28300000000,78820000000,76580000000,255700000000,316200000000,30600,2.6,149028,235000000000,4.68,3400000,78.62,10364388,5120400,8135500,1.64,4
18,22966,29.34,6.04,1362000000,108800000,117000000,401400000,1778000000,6500,3.5,2872,579900000,25.69,30000,67.49,279457,33300,60400,3.68,7
19,112620,41.99,13.76,1600000000,565200000,285200000,720900000,8338000000,1200,5,6787,934500000,85,70000,50.51,7460025,66500,236200,5.86,0
20,53,11.6,7.63,160000000,598000000,643000000,879000000,2330000000,36000,2,450,5523000000,8.53,34500,77.79,65365,56000,37873,1.89,7
21,47000,34.03,12.94,245000000,312900000,2001000000,154000000,2900000000,1400,5.3,4007,196000000,100.44,15000,54.39,2232291,25200,22000,4.81,2
22,1098580,23.76,7.64,5439000000,3848000000,4132000000,1986000000,22330000000,2600,3.7,60282,1595000000,53.11,270000,65.5,8857870,600100,1401500,2.94,5
23,51129,12.49,8.44,3000000000,8318000000,10040000000,1700000000,26210000000,6500,5,21846,5200000000,21.05,100000,72.85,4025476,938000,1050000,1.71,4
24,600370,23.33,29.36,531000000,1890000000,930000000,2940000000,15050000000,9200,3.5,10217,2255000000,54.58,60000,33.87,1640115,142400,435000,2.85,0
25,8511965,16.83,6.15,219800000000,351900000000,339000000000,95000000000,1492000000000,8100,5.1,1724929,61000000000,29.61,14300000,71.69,186112794,38810000,46373300,1.93,5
